Rank,Released,Movie,"Domestic
Box Office","International
Box Office","Worldwide
Box Office"
1,2023,Barbie,"$636,238,421","$797,194,408","$1,433,432,829"
2,2008,The Dark Knight,"$534,235,491","$465,004,537","$999,240,028"
3,2012,The Dark Knight Rises,"$448,139,099","$634,089,008","$1,082,228,107"
4,2017,Wonder Woman,"$412,563,408","$405,128,358","$817,691,766"
5,2011,Harry Potter and the Deathly Hallows: Part II,"$381,193,157","$931,250,693","$1,312,443,850"
6,2022,The Batman,"$369,345,583","$396,604,896","$765,950,479"
7,2014,American Sniper,"$350,126,372","$197,200,000","$547,326,372"
8,2019,Joker,"$335,451,311","$728,633,935","$1,064,085,246"
9,2018,Aquaman,"$335,061,807","$796,787,895","$1,131,849,702"
10,2016,Batman v Superman: Dawn of Justice,"$330,360,194","$542,034,897","$872,395,091"
11,2017,It,"$328,828,874","$372,183,872","$701,012,746"
12,2016,Suicide Squad,"$325,100,054","$420,644,926","$745,744,980"
13,2001,Harry Potter and the Sorcerer’s Stone,"$317,871,467","$645,771,108","$963,642,575"
14,2012,The Hobbit: An Unexpected Journey,"$303,003,568","$711,934,977","$1,014,938,545"
15,2009,Harry Potter and the Half-Blood Prince,"$302,089,278","$623,979,813","$926,069,091"
16,2010,Harry Potter and the Deathly Hallows: Part I,"$296,837,581","$647,418,967","$944,256,548"
17,2010,Inception,"$292,576,195","$533,217,375","$825,793,570"
18,2007,Harry Potter and the Order of the Phoenix,"$292,137,260","$644,897,513","$937,034,773"
19,2013,Man of Steel,"$291,045,518","$376,954,000","$667,999,518"
20,2005,Harry Potter and the Goblet of Fire,"$290,201,752","$595,021,234","$885,222,986"
21,2003,The Matrix Reloaded,"$281,553,689","$457,023,240","$738,576,929"
22,2009,The Hangover,"$277,322,503","$188,165,080","$465,487,583"
23,2013,Gravity,"$274,092,705","$410,565,026","$684,657,731"
24,2024,Dune: Part Two,"$272,104,000","$411,800,000","$683,904,000"
25,2002,Harry Potter and the Chamber of Secrets,"$262,233,381","$612,720,847","$874,954,228"
26,2013,The Hobbit: The Desolation of Smaug,"$258,241,522","$701,116,914","$959,358,436"
27,2014,The Lego Movie,"$257,784,718","$209,791,710","$467,576,428"
28,2007,I am Legend,"$256,393,010","$329,139,674","$585,532,684"
29,2009,The Blind Side,"$255,959,475","$49,746,319","$305,705,794"
30,2014,The Hobbit: The Battle of the Five Armies,"$255,119,788","$685,203,251","$940,323,039"
31,2011,The Hangover Part II,"$254,464,305","$332,300,000","$586,764,305"
32,1989,Batman,"$251,188,924","$160,160,000","$411,348,924"
33,2004,Harry Potter and the Prisoner of Azkaban,"$249,757,726","$533,463,548","$783,221,274"
34,1996,Twister,"$241,688,385","$254,011,615","$495,700,000"
35,2016,Fantastic Beasts and Where to Find Them,"$234,037,575","$577,686,810","$811,724,385"
36,1973,The Exorcist,"$230,956,951","$197,867,132","$428,824,083"
37,2017,Justice League,"$229,024,295","$426,920,914","$655,945,209"
38,2023,Wonka,"$218,402,312","$412,499,223","$630,901,535"
39,2018,A Star is Born,"$215,288,866","$216,385,290","$431,674,156"
40,2019,It: Chapter Two,"$211,593,228","$255,968,358","$467,561,586"
41,2007,300,"$210,614,939","$243,546,996","$454,161,935"
42,2009,Sherlock Holmes,"$209,028,679","$289,409,533","$498,438,212"
43,2005,Charlie and the Chocolate Factory,"$206,459,076","$269,366,408","$475,825,484"
44,2005,Batman Begins,"$205,343,774","$151,426,819","$356,770,593"
45,2014,Godzilla,"$200,676,069","$328,400,000","$529,076,069"
46,2006,Superman Returns,"$200,120,000","$190,961,192","$391,081,192"
47,2006,Happy Feet,"$198,000,317","$186,999,998","$385,000,315"
